1	23.6
2	23.6
3	23.6
4	23.6
5	23.6
6	23.6
7	23.6
8	23.7
9	23.7
10	23.7
11	23.7
12	23.7
13	23.7
14	23.7
15	23.7
16	23.7
17	23.7
18	23.8
19	23.8
20	23.7
21	23.8
22	23.7
23	23.8
24	23.8
25	23.8
26	23.8
27	23.8
28	23.9
29	23.9
30	23.9
31	23.9
32	24
33	24
34	24
35	24.1
36	24.1
37	24.2
38	24.3
39	24.3
40	24.4
41	24.5
42	24.6
43	24.7
44	24.7
45	24.9
46	25
47	25.1
48	25.2
49	25.3
50	25.4
51	25.6
52	25.7
53	25.8
54	25.9
55	26.1
56	26.2
57	26.3
58	26.4
59	26.7
60	26.8
61	26.9
62	27
64	27.2
65	27.4
66	27.5
67	27.6
68	27.8
69	27.9
70	28.1
71	28.2
72	28.3
73	28.6
74	28.7
75	28.9
76	29.1
77	29.3
78	29.5
79	29.7
80	29.9
81	30.1
82	30.3
83	30.5
84	30.6
85	30.9
86	31.1
87	31.2
88	31.5
89	31.6
90	31.9
91	32.2
92	32.4
93	32.6
94	32.9
95	33.1
96	33.4
97	33.7
98	34
99	34.4
100	34.6
101	34.9
102	35
103	35.2
104	35.5
105	35.7
106	35.9
107	36.1
108	36.2
109	36.5
110	36.7
111	36.9
112	37.1
113	37.4
114	37.8
115	37.9
116	38.1
117	38.2
118	38.5
119	38.7
120	39
121	39.2
122	39.6
123	39.8
124	40
125	40.4
126	40.6
127	40.9
129	41.2
130	41.4
131	41.8
132	42
133	42.4
134	42.7
135	42.9
136	43.2
137	43.4
138	43.6
139	43.9
140	44.1
141	44.5
142	44.7
143	45.1
144	45.5
145	45.7
146	46.1
147	46.4
148	46.7
149	47
150	47.2
151	47.5
152	47.8
153	48
154	48.3
155	48.5
156	48.8
157	49.1
158	49.4
159	49.7
160	50
161	50.3
162	50.8
163	51.2
164	51.5
165	51.9
166	52.2
167	52.4
168	52.7
169	52.8
170	53.2
171	53.4
172	53.7
173	54
174	54.2
175	54.6
176	54.9
177	55.2
178	55.6
179	56
180	56.5
181	56.8
182	57.1
183	57.4
184	57.7
185	58.1
186	58.3
187	58.6
188	59
189	59.3
190	59.7
191	60.2
192	60.6
194	60.9
195	61.2
196	61.4
197	61.8
198	62.1
199	62.4
200	62.7
201	63
202	63.4
203	63.7
204	64
205	64.3
206	64.5
207	64.9
208	65.2
209	65.5
210	65.9
211	66.2
212	66.6
213	67
214	67.2
215	67.6
216	68
217	68.4
218	68.9
219	69.2
220	69.6
221	69.8
222	70.1
223	70.4
224	70.7
225	71
226	71.3
227	71.5
228	71.9
229	72.2
230	72.6
231	72.9
232	73.2
233	73.4
234	73.6
235	73.8
236	74.2
237	74.5
238	74.9
239	75.3
240	75.7
241	76.2
242	76.5
243	76.8
244	77
245	77.3
246	77.7
247	78.1
248	78.4
249	78.9
250	79.2
251	79.6
252	79.9
253	80.4
254	80.7
256	81
257	81.4
258	81.7
259	81.9
260	82.3
261	82.6
262	82.9
263	83.2
264	83.4
265	83.8
266	84.1
267	84.4
268	84.6
269	84.9
270	85.2
271	85.5
272	85.9
273	86.3
274	86.7
275	87.2
276	87.5
277	87.8
278	88.4
279	88.9
280	89.4
281	89.6
282	89.6
283	89.9
284	90.1
285	90.5
286	90.6
287	90.8
288	91.2
289	91.5
290	91.8
291	92.3
292	92.6
293	93
294	93.2
295	93.5
296	94
297	94.3
298	94.7
299	94.9
300	95.3
301	95.7
302	95.9
303	96.2
304	96.6
305	96.9
306	97.2
307	97.4
308	97.7
309	98.1
310	98.4
311	98.9
312	99.2
313	99.6
314	100
315	100.3
316	100.6
317	101
318	101.3
320	101.8
321	102.2
322	102.5
323	103
324	103.3
325	103.8
326	104
327	104.3
328	104.8
329	105.3
330	105.9
331	106.5
332	107.1
333	107.5
334	107.3
335	107.3
336	107.3
337	107.4
338	107.8
339	108.2
340	108.6
341	109.3
342	109.8
343	110.3
344	110.6
345	110.7
346	111.1
347	111.4
348	111.8
349	112.4
350	112.8
351	113.4
352	113.4
353	113.4
354	113.8
355	114.1
356	114.5
357	114.6
358	114.8
359	114.9
360	115.1
361	115.3
362	115.8
363	116.1
364	116.6
365	116.9
366	117.2
367	117.5
368	117.6
369	117.8
370	118.1
371	118.4
372	118.8
373	119
374	119.2
375	119.6
376	119.9
377	120.4
378	120.7
379	120.9
380	121.3
381	121.6
382	121.9
383	122.2
385	122.4
386	122.8
387	123.2
388	123.5
389	123.8
390	124.1
391	124.6
